0.82 1.00  -1.45 
0.77 1.00  -1.44 
0.78 1.00  -1.44 
0.76 1.00  -1.44 
0.78 1.00  -1.44 
0.87 0.88  -1.43 
0.72 1.00  -1.44 
0.71 1.00  -1.44 
0.73 1.00  -1.44 
0.91 1.00  -1.14 
0.72 1.00  -1.44 
0.86 1.00  -1.44 
0.76 0.99  -1.44 
0.88 0.79  -1.43 
0.80 1.00  -1.44 
0.67 0.94  -1.44 
0.88 0.83  -1.43 
0.64 0.78  -1.44 
0.80 1.00  -1.44 
0.86 1.00  -1.44 
0.90 1.00  -1.13 
0.73 1.00  -1.44 
0.72 1.00  -1.44 
0.82 1.00  -1.44 
0.70 1.00  -1.44 
0.86 1.00  -1.44 
0.81 1.00  -1.44 
0.89 0.63  -1.43 
0.83 1.00  -1.45 
0.74 1.00  -1.44 
0.75 1.00  -1.44 
0.75 0.98  -1.44 
0.85 1.00  -1.44 
0.85 1.00  -1.44 
0.92 0.47  -1.43 
0.74 1.00  -1.44 
0.89 0.57  -1.43 
0.86 1.00  -1.44 
0.88 0.98  -1.43 
0.76 1.00  -1.44 
0.92 0.42  -1.43 
0.87 1.00  -1.44 
0.69 1.00  -1.44 
0.76 1.00  -1.44 
0.86 1.00  -1.44 
0.74 1.00  -1.44 
0.67 1.00  -1.44 
0.79 1.00  -1.44 
0.75 1.00  -1.44 
0.86 0.38  -1.43 
