0.76 0.97  -2.35 
0.60 0.99  -3.81 
0.99 0.66  -3.93 
0.80 0.53  -4.06 
0.96 1.00  -3.66 
0.13 0.09  -3.73 
0.88 0.87  -2.75 
0.87 1.00  -3.87 
0.86 1.00  -3.44 
1.00 0.21  -3.90 
0.19 0.39  -3.75 
1.00 0.70  -3.94 
0.35 0.68  -6.99 
0.26 1.00  -3.71 
1.00 0.58  -3.89 
0.76 0.52  -4.05 
0.34 0.33  -3.38 
0.88 1.00  -3.88 
0.84 1.00  -4.13 
0.86 0.60  -4.07 
0.45 0.70  -21.69 
0.22 0.71  -9.42 
1.00 0.27  -3.76 
0.71 0.51  -4.05 
1.00 0.49  -2.88 
0.76 0.87  -3.42 
0.91 0.16  -3.70 
0.90 0.66  -4.09 
0.33 0.75  -15.40 
0.06 0.06  -3.72 
0.34 0.73  -13.69 
0.16 0.30  -3.73 
0.48 0.85  -8.52 
0.94 0.66  -3.93 
0.91 0.51  -2.37 
0.90 1.00  -3.84 
0.81 1.00  -3.72 
1.00 0.60  -2.89 
0.41 0.78  -19.30 
0.42 0.98  -3.72 
0.24 0.44  -3.76 
0.86 0.47  -2.61 
0.84 0.99  -4.12 
0.94 0.78  -3.71 
1.00 0.65  -2.60 
0.10 0.29  -3.73 
1.00 0.33  -3.76 
0.26 0.49  -3.76 
0.18 0.98  -4.06 
0.58 0.69  -2.64 
0.44 0.03  -2.59 
1.00 0.82  -2.90 
0.94 0.52  -2.88 
0.79 1.00  -4.12 
0.99 0.68  -3.76 
0.17 0.86  -4.05 
0.59 0.30  -3.88 
0.75 0.37  -4.05 
0.58 0.16  -2.72 
0.05 0.06  -3.72 
1.00 0.66  -3.93 
0.40 0.79  -17.28 
0.16 0.69  -8.98 
0.25 0.55  -3.76 
0.34 0.70  -9.56 
1.00 0.17  -3.77 
0.19 0.96  -4.07 
0.81 1.00  -3.87 
1.00 0.59  -3.88 
0.21 0.70  -9.30 
0.99 0.82  -2.67 
1.00 0.84  -3.95 
1.00 0.89  -3.95 
0.51 0.31  -3.89 
1.00 0.74  -2.51 
0.99 0.06  -2.87 
0.54 0.83  -3.51 
0.95 0.24  -3.91 
0.88 0.53  -2.61 
0.91 0.61  -4.09 
0.75 0.52  -4.05 
0.68 1.00  -3.83 
0.72 0.97  -3.35 
0.34 0.71  -10.91 
0.99 0.75  -3.95 
0.33 0.27  -3.38 
0.71 1.00  -2.35 
0.04 0.10  -3.72 
1.00 0.21  -3.90 
0.88 0.99  -2.62 
0.94 0.79  -3.67 
0.24 0.40  -3.75 
0.76 0.48  -4.05 
0.24 0.50  -3.76 
1.00 0.67  -3.76 
0.85 0.01  -2.93 
0.88 0.99  -2.67 
1.00 0.82  -2.89 
1.00 0.78  -2.89 
0.34 0.63  -3.71 
