1.00 0.31  -1.65 
1.00 0.62  -1.56 
1.00 0.70  -1.61 
1.00 0.68  -1.56 
1.00 0.76  -1.63 
1.00 0.39  -1.61 
1.00 0.33  -1.60 
0.94 0.33  -1.61 
1.00 0.31  -1.60 
1.00 0.66  -1.57 
1.00 0.84  -1.56 
1.00 0.34  -1.60 
1.00 0.67  -1.62 
1.00 0.69  -1.62 
1.00 0.83  -1.56 
0.63 0.30  -1.62 
1.00 0.00  -1.59 
1.00 0.83  -1.56 
1.00 0.66  -1.62 
1.00 0.69  -1.61 
1.00 0.20  -1.59 
1.00 0.62  -1.56 
0.99 0.58  -1.62 
0.99 0.78  -1.56 
1.00 0.62  -1.62 
1.00 0.59  -1.62 
1.00 0.62  -1.61 
1.00 0.66  -1.57 
0.99 0.49  -1.43 
1.00 0.59  -1.62 
1.00 0.65  -1.42 
1.00 0.75  -1.63 
1.00 0.70  -1.62 
1.00 0.32  -1.60 
1.00 0.33  -1.60 
1.00 0.83  -1.56 
1.00 0.83  -1.56 
1.00 0.62  -1.62 
1.00 0.84  -1.56 
1.00 0.62  -1.56 
1.00 0.07  -1.58 
1.00 0.94  -1.25 
1.00 0.70  -1.63 
1.00 0.83  -1.56 
1.00 0.78  -1.55 
1.00 0.83  -1.56 
1.00 0.68  -1.62 
1.00 0.02  -1.60 
1.00 0.27  -1.60 
1.00 0.82  -1.56 
