0.000000 0.000000 0.25 0.25 0.25 0.25
0.000000 0.250000 0.25 0.25 0.25 0.25
0.000000 0.500000 0.25 0.25 0.25 0.25
0.000000 0.750000 0.25 0.25 0.25 0.25
0.000000 1.000000 0.25 0.25 0.25 0.25
0.250000 0.000000 0.25 0.25 0.25 0.25
0.250000 0.250000 0.25 0.25 0.25 0.25
0.250000 0.500000 0.25 0.25 0.25 0.25
0.250000 0.750000 0.25 0.25 0.25 0.25
0.250000 1.000000 0.25 0.25 0.25 0.25
0.500000 0.000000 0.25 0.25 0.25 0.25
0.500000 0.250000 0.25 0.25 0.25 0.25
0.500000 0.500000 0.25 0.25 0.25 0.25
0.500000 0.750000 0.25 0.25 0.25 0.25
0.500000 1.000000 0.25 0.25 0.25 0.25
0.750000 0.000000 0.25 0.25 0.25 0.25
0.750000 0.250000 0.25 0.25 0.25 0.25
0.750000 0.500000 0.25 0.25 0.25 0.25
0.750000 0.750000 0.25 0.25 0.25 0.25
0.750000 1.000000 0.25 0.25 0.25 0.25
1.000000 0.000000 0.25 0.25 0.25 0.25
1.000000 0.250000 0.25 0.25 0.25 0.25
1.000000 0.500000 0.25 0.25 0.25 0.25
1.000000 0.750000 0.25 0.25 0.25 0.25
1.000000 1.000000 0.25 0.25 0.25 0.25
